state_name,population,citizen_population,total_registered,total_voted,percent_registered,percent_voted
ALABAMA,3717.0,3651.0,2526.0,2095.0,0.6918652423993427,0.5738153930430019
ALASKA,518.0,502.0,358.0,308.0,0.7131474103585658,0.6135458167330677
ARIZONA,5196.0,4585.0,3145.0,2769.0,0.6859323882224646,0.6039258451472191
ARKANSAS,2216.0,2116.0,1456.0,1241.0,0.6880907372400756,0.5864839319470699
CALIFORNIA,29894.0,24890.0,16096.0,14416.0,0.6466854158296504,0.5791884290879872
COLORADO,4242.0,3895.0,2893.0,2707.0,0.7427471116816431,0.6949935815147625
CONNECTICUT,2759.0,2483.0,1763.0,1586.0,0.7100281917035843,0.6387434554973822
DELAWARE,729.0,669.0,487.0,417.0,0.7279521674140508,0.6233183856502242
DISTRICT OF COLUMBIA,553.0,512.0,420.0,380.0,0.8203125,0.7421875
FLORIDA,16202.0,14428.0,9604.0,8578.0,0.6656501247574161,0.5945383975602995
GEORGIA,7626.0,7048.0,4892.0,4246.0,0.6940976163450624,0.6024404086265607
HAWAII,1064.0,974.0,530.0,460.0,0.5441478439425051,0.4722792607802875
IDAHO,1224.0,1150.0,790.0,714.0,0.6869565217391305,0.6208695652173913
ILLINOIS,9723.0,8970.0,6665.0,5719.0,0.7430323299888517,0.6375696767001114
INDIANA,4988.0,4795.0,3298.0,2795.0,0.6877997914494265,0.5828988529718456
IOWA,2394.0,2292.0,1657.0,1454.0,0.7229493891797557,0.6343804537521816
KANSAS,2142.0,2029.0,1438.0,1243.0,0.708723509117792,0.6126170527353376
KENTUCKY,3348.0,3246.0,2253.0,1850.0,0.6940850277264325,0.5699322242760321
LOUISIANA,3463.0,3353.0,2446.0,2067.0,0.7294959737548464,0.6164628690724724
MAINE,1058.0,1038.0,830.0,754.0,0.7996146435452793,0.7263969171483622
MARYLAND,4623.0,4158.0,3114.0,2737.0,0.7489177489177489,0.6582491582491582
MASSACHUSETTS,5374.0,4967.0,3660.0,3315.0,0.7368632977652506,0.6674048721562311
MICHIGAN,7624.0,7332.0,5434.0,4713.0,0.7411347517730497,0.6427986906710311
MINNESOTA,4190.0,3985.0,3055.0,2738.0,0.766624843161857,0.6870765370138018
MISSISSIPPI,2203.0,2170.0,1725.0,1470.0,0.7949308755760369,0.6774193548387096
MISSOURI,4626.0,4486.0,3333.0,2906.0,0.7429781542576906,0.6477931341952742
MONTANA,798.0,790.0,581.0,521.0,0.7354430379746836,0.6594936708860759
NEBRASKA,1407.0,1336.0,1008.0,893.0,0.7544910179640718,0.6684131736526946
NEVADA,2234.0,1975.0,1371.0,1195.0,0.6941772151898734,0.6050632911392405
NEW HAMPSHIRE,1044.0,1012.0,763.0,698.0,0.7539525691699605,0.6897233201581028
NEW JERSEY,6862.0,5958.0,4165.0,3665.0,0.6990600872776099,0.6151393084927829
NEW MEXICO,1547.0,1396.0,916.0,765.0,0.6561604584527221,0.5479942693409742
NEW YORK,15506.0,13751.0,9142.0,7869.0,0.6648243764089884,0.5722492909606574
NORTH CAROLINA,7631.0,6960.0,5194.0,4700.0,0.746264367816092,0.6752873563218391
NORTH DAKOTA,583.0,564.0,424.0,362.0,0.75177304964539,0.6418439716312057
OHIO,8811.0,8499.0,6128.0,5408.0,0.7210260030591834,0.6363101541357806
OKLAHOMA,2923.0,2746.0,1861.0,1555.0,0.6777130371449381,0.5662782228696286
OREGON,3185.0,2929.0,2147.0,1942.0,0.7330146807784227,0.6630249231819734
PENNSYLVANIA,9980.0,9596.0,6909.0,6008.0,0.7199874947894956,0.626094205919133
RHODE ISLAND,836.0,766.0,538.0,464.0,0.7023498694516971,0.6057441253263708
SOUTH CAROLINA,3733.0,3598.0,2575.0,2233.0,0.7156753752084491,0.6206225680933852
SOUTH DAKOTA,631.0,612.0,437.0,362.0,0.7140522875816994,0.5915032679738562
TENNESSEE,5057.0,4872.0,3251.0,2630.0,0.6672824302134647,0.5398193760262726
TEXAS,20172.0,17378.0,11724.0,9626.0,0.6746461042697663,0.5539187478420992
UTAH,2096.0,1969.0,1398.0,1234.0,0.7100050787201625,0.6267140680548502
VERMONT,500.0,488.0,351.0,305.0,0.7192622950819673,0.625
VIRGINIA,6343.0,5829.0,4399.0,3973.0,0.7546749013552925,0.681592039800995
WASHINGTON,5592.0,5104.0,3906.0,3382.0,0.765282131661442,0.6626175548589341
WEST VIRGINIA,1434.0,1425.0,913.0,723.0,0.6407017543859649,0.5073684210526316
WISCONSIN,4465.0,4354.0,3323.0,3068.0,0.7632062471290767,0.7046394120349104
WYOMING,436.0,427.0,304.0,277.0,0.711943793911007,0.6487119437939111
